Variable Name,Variable Description,Component
SXQ550,"In the past 12 months, with how many men have you had anal or oral sex?",Questionnaire
SXQ590,"Of the persons you had any kind of sex with in the past 12 months, how many were five or more years older than you?",Questionnaire
SXQ600,"Of the persons you had any kind of sex with in the past 12 months, how many were five or more years younger than you?",Questionnaire
SXQ610,"In the past 12 months, about how many times have you had {vaginal or anal/vaginal/anal} sex?",Questionnaire
SXQ624,"In your lifetime, on how many men have you performed oral sex?",Questionnaire
SXQ627,"In the past 12 months, on how many men have you performed oral sex?",Questionnaire
SXQ636,"In your lifetime, on how many women have you performed oral sex?",Questionnaire
SXQ639,"In the past 12 months, on how many women have you performed oral sex?",Questionnaire
SXQ645,"When you performed oral sex in the past 12 months, how often would you use protection, like a condom or dental dam?",Questionnaire
SXQ648,"In the past 12 months, did you have any kind of sex with a person that you never had sex with before?",Questionnaire
SXQ700,"Have you ever had vaginal sex, also called sexual intercourse, with a man? This means a man's penis in your vagina.",Questionnaire
SXQ703,Have you ever performed oral sex on a man? This means putting your mouth on a man's penis or genitals.,Questionnaire
SXQ706,Have you ever had anal sex? This means contact between a man's penis and your anus or butt.,Questionnaire
SXQ709,"Have you ever had any kind of sex with a woman? By sex, we mean sexual contact with another woman's vagina or genitals.",Questionnaire
SXQ724,"In your lifetime, with how many men have you had vaginal sex?  Vaginal sex means a man's penis in your vagina.",Questionnaire
SXQ727,"In the past 12 months, with how many men have you had vaginal sex? Vaginal sex means a man's penis in your vagina.",Questionnaire
SXQ741,Have you ever performed oral sex on a woman? Performing oral sex means your mouth on a woman's vagina or genitals.,Questionnaire
SXQ753,Has a doctor or other health care professional ever told you that you had human papillomavirus or HPV?,Questionnaire
SXQ800,"Have you ever had vaginal sex, also called sexual intercourse, with a woman? This means your penis in a woman's vagina.",Questionnaire
SXQ803,Have you ever performed oral sex on a woman? This means putting your mouth on a woman's vagina or genitals.,Questionnaire
SXQ806,Have you ever had anal sex with a woman? Anal sex means contact between your penis and a woman's anus or butt.,Questionnaire
SXQ809,"Have you ever had any kind of sex with a man, including oral or anal?",Questionnaire
SXQ824,"In your lifetime, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina.",Questionnaire
SXQ827,"In the past 12 months, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina.",Questionnaire
SXQ836,"In your lifetime, with how many men have you had anal sex?",Questionnaire
SXQ841,"In the past 12 months, with how many men have you had anal sex?",Questionnaire
SXQ853,Have you ever performed oral sex on a man? Performing oral sex means your mouth on a man's penis or genitals.,Questionnaire
PUQ100,"In the past 7 days, were any chemical products used in {your/his/her} home to control fleas, roaches, ants, termites, or other insects?",Questionnaire
PUQ110,"In the past 7 days, were any chemical products used in {your/his/her} lawn or garden to kill weeds?",Questionnaire
SEQN,Respondent sequence number.,Questionnaire
SEQN,Respondent sequence number.,Questionnaire
SXD021,"Ever had vaginal, anal, or oral sex.",Questionnaire
SXD031,How old were you when you had sex for the first time?,Questionnaire
SXD101,"In your lifetime, with how many men have you had any kind of sex?",Questionnaire
SXD171,"In your lifetime, with how many women have you had any kind of sex?",Questionnaire
SXD450,"In the past 12 months, with how many men have you had any kind of sex?",Questionnaire
SXD510,"In the past 12 months, with how many women have you had any kind of sex?",Questionnaire
SXD621,How old were you when you first performed oral sex on a man? Performing oral sex means your mouth on a man's penis or genitals.,Questionnaire
SXD630,How long has it been since the last time you performed oral sex on a new male partner? A new sexual partner is someone that you had never had sex with before.,Questionnaire
SXD633,How old were you when you first performed oral sex on a woman? Performing oral sex means your mouth on a woman's vagina or genitals.,Questionnaire
SXD642,How long has it been since the last time you performed oral sex on a new female partner? A new sexual partner is someone that you had never had sex with before.,Questionnaire
SXQ130,"In your lifetime with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals.",Questionnaire
SXQ251,"In the past 12 months, about how often have you had {vaginal or anal/vaginal/anal} sex without using a condom?",Questionnaire
SXQ260,Has a doctor or other health care professional ever told you that you had genital herpes?,Questionnaire
SXQ265,Has a doctor or other health care professional ever told you that you had genital warts?,Questionnaire
SXQ267,How old were you when you were first told that you had genital warts?,Questionnaire
SXQ270,"In the past 12 months, has a doctor or other health care professional told you that you had gonorrhea, sometimes called GC or clap?",Questionnaire
SXQ272,"In the past 12 months, has a doctor or other health care professional told you that you had chlamydia?",Questionnaire
SXQ280,Are you circumcised or uncircumcised?,Questionnaire
SXQ295,Which of the following best represents how you think of yourself?,Questionnaire
SXQ296,Which of the following best represents how you think of yourself?,Questionnaire
SXQ410,"In your lifetime, with how many men have you had anal or oral sex?",Questionnaire
SXQ490,"In the past 12 months, with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals.",Questionnaire
SXQ550,"In the past 12 months, with how many men have you had anal or oral sex?",Questionnaire
SXQ590,"Of the persons you had any kind of sex with in the past 12 months, how many were five or more years older than you?",Questionnaire
SXQ600,"Of the persons you had any kind of sex with in the past 12 months, how many were five or more years younger than you?",Questionnaire
SXQ610,"In the past 12 months, about how many times have you had {vaginal or anal/vaginal/anal} sex?",Questionnaire
SXQ624,"In your lifetime, on how many men have you performed oral sex?",Questionnaire
SXQ627,"In the past 12 months, on how many men have you performed oral sex?",Questionnaire
SXQ636,"In your lifetime, on how many women have you performed oral sex?",Questionnaire
SXQ639,"In the past 12 months, on how many women have you performed oral sex?",Questionnaire
SXQ645,"When you performed oral sex in the past 12 months, how often would you use protection, like a condom or dental dam?",Questionnaire
SXQ648,"In the past 12 months, did you have any kind of sex with a person that you never had sex with before?",Questionnaire
SXQ700,"Have you ever had vaginal sex, also called sexual intercourse, with a man? This means a man's penis in your vagina.",Questionnaire
SXQ703,Have you ever performed oral sex on a man? This means putting your mouth on a man's penis or genitals.,Questionnaire
SXQ706,Have you ever had anal sex? This means contact between a man's penis and your anus or butt.,Questionnaire
SXQ709,"Have you ever had any kind of sex with a woman? By sex, we mean sexual contact with another woman's vagina or genitals.",Questionnaire
SXQ724,"In your lifetime, with how many men have you had vaginal sex?  Vaginal sex means a man's penis in your vagina.",Questionnaire
SXQ727,"In the past 12 months, with how many men have you had vaginal sex? Vaginal sex means a man's penis in your vagina.",Questionnaire
SXQ741,Have you ever performed oral sex on a woman? Performing oral sex means your mouth on a woman's vagina or genitals.,Questionnaire
SXQ753,Has a doctor or other health care professional ever told you that you had human papillomavirus or HPV?,Questionnaire
SXQ800,"Have you ever had vaginal sex, also called sexual intercourse, with a woman? This means your penis in a woman's vagina.",Questionnaire
SXQ803,Have you ever performed oral sex on a woman? This means putting your mouth on a woman's vagina or genitals.,Questionnaire
SXQ806,Have you ever had anal sex with a woman? Anal sex means contact between your penis and a woman's anus or butt.,Questionnaire
SXQ809,"Have you ever had any kind of sex with a man, including oral or anal?",Questionnaire
SXQ824,"In your lifetime, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina.",Questionnaire
SXQ827,"In the past 12 months, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina.",Questionnaire
SXQ836,"In your lifetime, with how many men have you had anal sex?",Questionnaire
SXQ841,"In the past 12 months, with how many men have you had anal sex?",Questionnaire
SXQ853,Have you ever performed oral sex on a man? Performing oral sex means your mouth on a man's penis or genitals.,Questionnaire
ALD020,"During your life, on how many days have you had at least one drink of alcohol?",Questionnaire
ALD030,"During the past 30 days, on how many days did you have at least one drink of alcohol?",Questionnaire
ALD040,"During the past 30 days, on how many days did you have {'4' Female, '5' Male - DISPLAY NUMBER} or more drinks of alcohol in a row, that is, within a couple of hours?",Questionnaire
ALQ010,"How old were you when you had your first drink of alcohol, other than a few sips?",Questionnaire
SEQN,Respondent sequence number.,Questionnaire
ALQ111,"The next questions are about drinking alcoholic beverages. Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.
In {your/SP's} entire life, {have you/has he/has she} had at least 1 drink of any kind of alcohol, not counting small tastes or sips? By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and a half ounces of liquor.",Questionnaire
ALQ121,"During the past 12 months, about how often did {you/SP} drink any type of alcoholic beverage?
PROBE: How many days per week, per month, or per year did {you/SP} drink?",Questionnaire
ALQ130,"During the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have? By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and a half ounces of liquor.)",Questionnaire
ALQ142,"During the past 12 months, about how often did {you/SP} have {DISPLAY NUMBER} or more drinks of any alcoholic beverage?
PROBE: How many days per week, per month, or per year did {you/SP} have {DISPLAY NUMBER} or more drinks in a single day?",Questionnaire
ALQ151,Was there ever a time or times in {your/SP's} life when {you/he/she} drank {DISPLAY NUMBER} or more drinks of any kind of alcoholic beverage almost every day?,Questionnaire
ALQ170,"Considering all types of alcoholic beverages, during the past 30 days, how many times did you have {5/4} or more drinks on an occasion?",Questionnaire
ALQ270,"During the past 12 months, about how often did {you/SP} have {DISPLAY NUMBER} or more drinks in a period of two hours or less?",Questionnaire
ALQ280,"During the past 12 months, about how often did {you/SP} have 8 or more drinks in a single day?",Questionnaire
ALQ290,"During the past 12 months, about how often did {you/SP} have 12 or more drinks in a single day?",Questionnaire
SEQN,Respondent sequence number.,Questionnaire
SEQN,Respondent sequence number.,Questionnaire
VTD241B,"Now I am going to ask you a few questions about {your/SP's} activities over the last 48 hours.  This means today or yesterday. How long ago, in hours, did {you/she/he} cook or bake with natural gas?",Questionnaire
VTD244B,"How long ago, in hours, did {you/she/he} pump gas into a car or other motor vehicle {yourself/herself/ himself}?",Questionnaire
VTD251B,"How long ago, in hours, has it been since {you/she/he} spent time at a swimming pool, in a hot tub, or in a steam room?",Questionnaire
VTD261B,"How long ago, in hours, has it been since {you/she/he} used dry cleaning solvents, visited a dry cleaning shop or wore clothes that had been dry-cleaned within the last week?",Questionnaire
VTD271B,"How long ago, in hours, has it been since {your/SP's} last shower or hot bath?",Questionnaire
VTD281B,"How long ago, in hours, has it been since {you/she/he} breathed fumes from freshly painted indoor surfaces, paints, paint thinner, or varnish?",Questionnaire
VTD281D,"How long ago, in hours, has it been since {you/she/he} breathed fumes from diesel fuel or kerosene?",Questionnaire
VTD281F,"How long ago, in hours, has it been since {you/she/he} breathed fumes from fingernail polish?",Questionnaire
VTQ200A,{Do you/Does she/Does he} currently store paints or fuels inside {your/her/his} home?  Include {your/her/his} basement {and attached garage}.,Questionnaire
VTQ210,"First,  I would like to ask you a few questions about {your/SP's} home.  Does {your/her/his} home have an attached garage?",Questionnaire
VTQ231A,"{Do you/Does she/Does he} currently use moth balls, moth crystals or toilet bowl deodorizers inside {your/her/his} home?",Questionnaire
VTQ233A,"In the last three days, did {you/she/he} inhale smoke from any source for 10 or more minutes?",Questionnaire
VTQ233B,When did {you/she/he} last spend 10 or more minutes inhaling smoke?,Questionnaire
VTQ241A,"Now I am going to ask you a few questions about {your/SP's} activities over the last 48 hours.  This means today or yesterday.  In the last 48 hours, did {you/she/he} cook or bake with natural gas?",Questionnaire
VTQ244A,"In the last 48 hours, did {you/she/he} pump gas into a car or other motor vehicle {yourself/herself/ himself}?",Questionnaire
VTQ251A,"In the last 48 hours, did {you/she/he} spend any time at a swimming pool, in a hot tub, or in a steam room?",Questionnaire
VTQ261A,"In the last 48 hours, did {you/she/he} use dry cleaning solvents, visit a dry cleaning shop or wear clothes that had been dry-cleaned within the last week?",Questionnaire
VTQ271A,"In the last 48 hours, did {you/she/he} take a hot shower or bath for five minutes or longer?",Questionnaire
VTQ281A,"In the last 48 hours, did {you/she/he} breathe fumes from freshly painted indoor surfaces, paints, paint thinner, or varnish?",Questionnaire
VTQ281C,"In the last 48 hours, did {you/she/he} breathe fumes from diesel fuel or kerosene?",Questionnaire
VTQ281E,"In the last 48 hours, did {you/she/he} breathe fumes from fingernail polish?",Questionnaire
WTSVOC2Y,VOC Subsample Weight,Questionnaire
CBD760,How old are you?,Questionnaire
CBD765,Which of the following best describe your highest education level?,Questionnaire
CBD770,What is the gender of the respondent?,Questionnaire
CBQ502,Do you have the green hand card booklet? {It is in the same bag as the food measuring guides [you used for your/we used for SP’s] dietary phone interview. I'll wait while you locate it. Do you have it?},Questionnaire
CBQ503,"Let's go ahead with the interview anyway.  Do you have a cereal box, can or package of food with a food label on the back or the side that you can use for this interview?  I'll wait while you locate it.",Questionnaire
CBQ506,"I am going to ask you about eating foods and beverages from different places. The types of places are listed on hand card 1 in your booklet.  Please turn to hand card 1. We will start with foods or beverages from fast food or pizza places, then I'll go down the list and ask you about each of the other places.}  For the first few questions, please answer yes or no.
In the past 12 months, did you buy food from fast food or pizza places?",Questionnaire
CBQ536,"At the last fast food or pizza place you bought foods or beverages, did you notice any calorie information on the menu?",Questionnaire
CBQ541,Did you use the information in deciding what to buy?,Questionnaire
CBQ551,"In the past 12 months, did you eat in or get take-out from a restaurant with waiter or waitress service?",Questionnaire
CBQ581,"The last time you ate or got take-out from a restaurant with a waiter or waitress, did you notice any calorie information on the menu?",Questionnaire
CBQ586,Did you use the information in deciding what to order?,Questionnaire
CBQ685,"{Please turn to hand cards 16 and 17.}  How about the information on the percent daily value?  [How often do you use information on the percent daily value on a food label, {such as the part colored in blue on hand card 16,} when deciding to buy a food product?] [Would you say always, most of the time, sometimes, rarely, or never?]",Questionnaire
CBQ695a,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is...",Questionnaire
CBQ695b,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is...",Questionnaire
CBQ695c,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is...",Questionnaire
CBQ698a,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698b,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698c,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698cd,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698d,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698e,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698f,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698g,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698h,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698i,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ700,"{Now turn the page to use hand card 3.} Many food packages contain an expiration date such as ""use by"" or ""sell by"". How often do you use the expiration date when deciding to buy a food product? Would you say always, most of the time, sometimes, rarely, or never?",Questionnaire
CBQ738a,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738b,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738c,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738cd,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738d,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738e,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738f,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738g,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738h,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738i,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738j,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738k,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ785,The interview was completed in:,Questionnaire
CBQ830,"In the past 12 months, did you eat at an all-you-can-eat buffet style restaurant?",Questionnaire
CBQ835,"The last time you ate at an all-you-can-eat buffet style restaurant, did you notice any calorie information on the menu?",Questionnaire
CBQ840,Did you use the information in deciding what to eat?,Questionnaire
CBQ845,"In the past 12 months, did you buy any foods or beverages at a place that sells mostly beverages such as a coffee shop or juice bar?",Questionnaire
CBQ850,"The last time you bought foods or beverages at a place that sells mostly beverages, did you notice any calorie information on the menu?",Questionnaire
CBQ855,Did you use the information in deciding what to order?,Questionnaire
CBQ860,"In the past 12 months, did you buy any foods or beverages at movie theaters, sports arenas, or other places of recreation?",Questionnaire
CBQ865,"The last time you bought foods or beverages at a movie theater, sports arena, or other place of recreation, did you notice any calorie information on the menu?",Questionnaire
CBQ870,Did you use the information in deciding what to order?,Questionnaire
CBQ875,"In the past 12 months, did you buy prepared foods such as salads, soups, chicken, sandwiches and cooked vegetables from grocery store salad bars and deli counters?",Questionnaire
CBQ880,"The last time you bought prepared foods at a grocery store, did you notice any calorie information about these foods?",Questionnaire
CBQ885,Did you use the information in deciding what to buy?,Questionnaire
CBQ890,"In the past 12 months, did you buy prepared foods at convenience stores including gas stations or corner stores?",Questionnaire
CBQ895,"The last time you bought prepared foods at a convenience store, including a gas station or corner store, did you notice any calorie information about these foods?",Questionnaire
CBQ900,Did you use the information in deciding what to buy?,Questionnaire
CBQ905,"{Please turn to hand cards 12 and 13.}  How about the information on the number of servings in the package?  [How often do you use information on the number of servings in the package on a food label, {such as the part colored in purple on hand card 12,} when deciding to buy a food product?]   [Would you say always, most of the time, sometimes, rarely, or never?]",Questionnaire
CBQ910,"{Please turn to hand cards 14 and 15.}  How about the information contained in the footnote?  [How often do you use information contained in the footnote on a food label, {such as the part colored in orange on hand card 14,} when deciding to buy a food product?]  [Would you say always, most of the time, sometimes, rarely, or never?]",Questionnaire
CBQ915,"{For the next question you'll use {hand cards 19 & 21} to respond, but first please look at {hand card 18/hand card 20.}  Which one do you use more often when deciding to buy a food product - information on the food label about Percent Daily Value, {such as the part colored in blue on {hand card 18/hand card 20},} or about the amount of nutrients such as the value in grams or milligrams noted next to each nutrient {such as the part highlighted in yellow}?  {Looking at {hand card 19/hand card 21},} would you say you use...",Questionnaire
CBQ925,Now turn to {hand cards 22 and 23/hand cards 24 and 25}. The label of the product shows 5% Daily Value for Vitamin A in a serving of the product.  What does the 5% Daily Value mean to you?,Questionnaire
CBQ930,"{Look at hand cards 26 and 27.}  How often do you use the calorie information on a food label, {such as the part colored in green,} when deciding to buy a food product?  Would you say always, most of the time, sometimes, rarely, or never?",Questionnaire
CBQ935,"{Please turn your hand cards to the next page.}  How about information on sugars?  [How often do you use information on sugars on a food label, {such as the part colored in pink on hand card 28,} when deciding to buy a food product?]  Would you say always, most of the time, sometimes, rarely, or never?",Questionnaire
CBQ945,"{Now turn to hand cards 30 and 31.}  How about information on sodium?  [How often do you use information on sodium on a food label, {such as the part colored in blue on hand card 30,} when deciding to buy a food product?]  [Would you say always, most of the time, sometimes, rarely, or never?]",Questionnaire
CBQ950,"{Please turn to the next hand card page.}  Some food packages contain two column labels. {For example, the one shown in hand card 32}. The first column has nutrient information for one serving of the food, and the second column contains information for the entire package.  On packages containing two column labels, how often do you use the second column with information per container when deciding to buy a food product?  Would you say always, most of the time, sometimes, rarely, or never?",Questionnaire
DBD930,Are you the person who does most of the planning or preparing of meals in your family?,Questionnaire
DBD935,Do you share in the planning or preparing of meals with someone else?,Questionnaire
DBD940,Are you the person who does most of the shopping for food in your family?,Questionnaire
DBD945,Do you share in the shopping for food with someone else?,Questionnaire
DBQ750,"{Please turn to hand card 6. For the next few questions you'll use hand card 7 to respond, but first please look at hand card 6 which shows an example of the food label. How often do you use the Nutrition Facts panel on a food label, such as the part colored in yellow on the sample food label on hand card 6, when deciding to buy a food product?} {Looking at hand card 7,} would you say always, most of the time, sometimes, rarely, or never?",Questionnaire
DBQ760,"{Please turn to hand card 8. Again, for the next question, you’ll use hand card 9 to respond, but first look at hand card 8.} How often do you use the list of ingredients on a food label, {such as the part colored in pink on hand card 8,} when deciding to buy a food product? Would you say always, most of the time, sometimes, rarely, or never?",Questionnaire
DBQ770,"{Please turn your hand card to the next page.} How about the information on the serving size? [HAND CARD # 10] How often do you use information on the serving size on a food label, {such as the part colored in green on hand card 10,} when deciding to buy a food product?] Would you say always, most of the time, sometimes, rarely, or never?]",Questionnaire
DBQ780,"Some food packages contain health claims about the benefits of nutrients or foods {like the examples on hand card 4}. How often do you use this kind of health claim when deciding to buy a product? Using hand card 5, would you say always, most of the time, sometimes, rarely, or never?",Questionnaire
SEQN,Respondent sequence number.,Questionnaire
WTDRD1,Dietary day one sample weight,Questionnaire
CBQ502,Do you have the green hand card booklet? {It is in the same bag as the food measuring guides [you used for your/we used for SP’s] dietary phone interview. I'll wait while you locate it. Do you have it?},Questionnaire
CBQ503,"Let's go ahead with the interview anyway.  Do you have a cereal box, can or package of food with a food label on the back or the side that you can use for this interview?  I'll wait while you locate it.",Questionnaire
CBQ506,"I am going to ask you about eating foods and beverages from different places. The types of places are listed on hand card 1 in your booklet.  Please turn to hand card 1. We will start with foods or beverages from fast food or pizza places, then I'll go down the list and ask you about each of the other places.}  For the first few questions, please answer yes or no.
In the past 12 months, did you buy food from fast food or pizza places?",Questionnaire
CBQ536,"At the last fast food or pizza place you bought foods or beverages, did you notice any calorie information on the menu?",Questionnaire
CBQ541,Did you use the information in deciding what to buy?,Questionnaire
CBQ551,"In the past 12 months, did you eat in or get take-out from a restaurant with waiter or waitress service?",Questionnaire
CBQ581,"The last time you ate or got take-out from a restaurant with a waiter or waitress, did you notice any calorie information on the menu?",Questionnaire
CBQ586,Did you use the information in deciding what to order?,Questionnaire
CBQ645,{Please turn to hand card 2.} About how many calories do you think a {man/woman} of your age and physical activity needs to consume a day to maintain your current weight?,Questionnaire
CBQ685,"{Please turn to hand cards 16 and 17.}  How about the information on the percent daily value?  [How often do you use information on the percent daily value on a food label, {such as the part colored in blue on hand card 16,} when deciding to buy a food product?] [Would you say always, most of the time, sometimes, rarely, or never?]",Questionnaire
CBQ695a,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is...",Questionnaire
CBQ695b,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is...",Questionnaire
CBQ695c,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is...",Questionnaire
CBQ698a,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698b,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698c,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698cd,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698d,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698e,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698f,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698g,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698h,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ698i,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},Questionnaire
CBQ700,"{Now turn the page to use hand card 3.} Many food packages contain an expiration date such as ""use by"" or ""sell by"". How often do you use the expiration date when deciding to buy a food product? Would you say always, most of the time, sometimes, rarely, or never?",Questionnaire
CBQ738a,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738b,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738c,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738cd,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738d,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738e,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738f,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738g,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738h,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738i,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738j,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ738k,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},Questionnaire
CBQ785,The interview was completed in:,Questionnaire
CBQ830,"In the past 12 months, did you eat at an all-you-can-eat buffet style restaurant?",Questionnaire
CBQ835,"The last time you ate at an all-you-can-eat buffet style restaurant, did you notice any calorie information on the menu?",Questionnaire
CBQ840,Did you use the information in deciding what to eat?,Questionnaire
CBQ845,"In the past 12 months, did you buy any foods or beverages at a place that sells mostly beverages such as a coffee shop or juice bar?",Questionnaire
