Variable Name,Component,Variable Description
SXQ272,Questionnaire,"In the past 12 months, has a doctor or other health care professional told you that you had chlamydia?"
SXQ280,Questionnaire,Are you circumcised or uncircumcised?
SXQ410,Questionnaire,"In your lifetime, with how many men have you had anal or oral sex?"
SXQ490,Questionnaire,"In the past 12 months, with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals."
SXQ550,Questionnaire,"In the past 12 months, with how many men have you had anal or oral sex?"
SXQ590,Questionnaire,"Of the persons you had any kind of sex with in the past 12 months, how many were five or more years older than you?"
SXQ600,Questionnaire,"Of the persons you had any kind of sex with in the past 12 months, how many were five or more years younger than you?"
SXQ610,Questionnaire,"In the past 12 months, about how many times have you had {vaginal or anal/vaginal/anal} sex?"
SXQ624,Questionnaire,"In your lifetime, on how many men have you performed oral sex?"
SXQ627,Questionnaire,"In the past 12 months, on how many men have you performed oral sex?"
SXQ636,Questionnaire,"In your lifetime, on how many women have you performed oral sex?"
SXQ639,Questionnaire,"In the past 12 months, on how many women have you performed oral sex?"
SXQ645,Questionnaire,"When you performed oral sex in the past 12 months, how often would you use protection, like a condom or dental dam?"
SXQ648,Questionnaire,"In the past 12 months, did you have any kind of sex with a person that you never had sex with before?"
SXQ700,Questionnaire,"Have you ever had vaginal sex, also called sexual intercourse, with a man? This means a man's penis in your vagina."
SXQ703,Questionnaire,Have you ever performed oral sex on a man? This means putting your mouth on a man's penis or genitals.
SXQ706,Questionnaire,Have you ever had anal sex? This means contact between a man's penis and your anus or butt.
SXQ709,Questionnaire,"Have you ever had any kind of sex with a woman? By sex, we mean sexual contact with another woman's vagina or genitals."
SXQ724,Questionnaire,"In your lifetime, with how many men have you had vaginal sex?  Vaginal sex means a man's penis in your vagina."
SXQ727,Questionnaire,"In the past 12 months, with how many men have you had vaginal sex? Vaginal sex means a man's penis in your vagina."
SXQ741,Questionnaire,Have you ever performed oral sex on a woman? Performing oral sex means your mouth on a woman's vagina or genitals.
SXQ753,Questionnaire,Has a doctor or other health care professional ever told you that you had human papillomavirus or HPV?
SXQ800,Questionnaire,"Have you ever had vaginal sex, also called sexual intercourse, with a woman? This means your penis in a woman's vagina."
SXQ803,Questionnaire,Have you ever performed oral sex on a woman? This means putting your mouth on a woman's vagina or genitals.
SXQ806,Questionnaire,Have you ever had anal sex with a woman? Anal sex means contact between your penis and a woman's anus or butt.
SXQ809,Questionnaire,"Have you ever had any kind of sex with a man, including oral or anal?"
SXQ824,Questionnaire,"In your lifetime, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina."
SXQ827,Questionnaire,"In the past 12 months, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina."
SXQ836,Questionnaire,"In your lifetime, with how many men have you had anal sex?"
SXQ841,Questionnaire,"In the past 12 months, with how many men have you had anal sex?"
SXQ853,Questionnaire,Have you ever performed oral sex on a man? Performing oral sex means your mouth on a man's penis or genitals.
PUQ100,Questionnaire,"In the past 7 days, were any chemical products used in {your/his/her} home to control fleas, roaches, ants, termites, or other insects?"
PUQ110,Questionnaire,"In the past 7 days, were any chemical products used in {your/his/her} lawn or garden to kill weeds?"
SEQN,Questionnaire,Respondent sequence number.
SEQN,Questionnaire,Respondent sequence number.
SXD021,Questionnaire,"Ever had vaginal, anal, or oral sex."
SXD031,Questionnaire,How old were you when you had sex for the first time?
SXD101,Questionnaire,"In your lifetime, with how many men have you had any kind of sex?"
SXD171,Questionnaire,"In your lifetime, with how many women have you had any kind of sex?"
SXD450,Questionnaire,"In the past 12 months, with how many men have you had any kind of sex?"
SXD510,Questionnaire,"In the past 12 months, with how many women have you had any kind of sex?"
SXD621,Questionnaire,How old were you when you first performed oral sex on a man? Performing oral sex means your mouth on a man's penis or genitals.
SXD630,Questionnaire,How long has it been since the last time you performed oral sex on a new male partner? A new sexual partner is someone that you had never had sex with before.
SXD633,Questionnaire,How old were you when you first performed oral sex on a woman? Performing oral sex means your mouth on a woman's vagina or genitals.
SXD642,Questionnaire,How long has it been since the last time you performed oral sex on a new female partner? A new sexual partner is someone that you had never had sex with before.
SXQ130,Questionnaire,"In your lifetime with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals."
SXQ251,Questionnaire,"In the past 12 months, about how often have you had {vaginal or anal/vaginal/anal} sex without using a condom?"
SXQ260,Questionnaire,Has a doctor or other health care professional ever told you that you had genital herpes?
SXQ265,Questionnaire,Has a doctor or other health care professional ever told you that you had genital warts?
SXQ267,Questionnaire,How old were you when you were first told that you had genital warts?
SXQ270,Questionnaire,"In the past 12 months, has a doctor or other health care professional told you that you had gonorrhea, sometimes called GC or clap?"
SXQ272,Questionnaire,"In the past 12 months, has a doctor or other health care professional told you that you had chlamydia?"
SXQ280,Questionnaire,Are you circumcised or uncircumcised?
SXQ295,Questionnaire,Which of the following best represents how you think of yourself?
SXQ296,Questionnaire,Which of the following best represents how you think of yourself?
SXQ410,Questionnaire,"In your lifetime, with how many men have you had anal or oral sex?"
SXQ490,Questionnaire,"In the past 12 months, with how many women have you had sex? By sex, we mean sexual contact with another woman's vagina or genitals."
SXQ550,Questionnaire,"In the past 12 months, with how many men have you had anal or oral sex?"
SXQ590,Questionnaire,"Of the persons you had any kind of sex with in the past 12 months, how many were five or more years older than you?"
SXQ600,Questionnaire,"Of the persons you had any kind of sex with in the past 12 months, how many were five or more years younger than you?"
SXQ610,Questionnaire,"In the past 12 months, about how many times have you had {vaginal or anal/vaginal/anal} sex?"
SXQ624,Questionnaire,"In your lifetime, on how many men have you performed oral sex?"
SXQ627,Questionnaire,"In the past 12 months, on how many men have you performed oral sex?"
SXQ636,Questionnaire,"In your lifetime, on how many women have you performed oral sex?"
SXQ639,Questionnaire,"In the past 12 months, on how many women have you performed oral sex?"
SXQ645,Questionnaire,"When you performed oral sex in the past 12 months, how often would you use protection, like a condom or dental dam?"
SXQ648,Questionnaire,"In the past 12 months, did you have any kind of sex with a person that you never had sex with before?"
SXQ700,Questionnaire,"Have you ever had vaginal sex, also called sexual intercourse, with a man? This means a man's penis in your vagina."
SXQ703,Questionnaire,Have you ever performed oral sex on a man? This means putting your mouth on a man's penis or genitals.
SXQ706,Questionnaire,Have you ever had anal sex? This means contact between a man's penis and your anus or butt.
SXQ709,Questionnaire,"Have you ever had any kind of sex with a woman? By sex, we mean sexual contact with another woman's vagina or genitals."
SXQ724,Questionnaire,"In your lifetime, with how many men have you had vaginal sex?  Vaginal sex means a man's penis in your vagina."
SXQ727,Questionnaire,"In the past 12 months, with how many men have you had vaginal sex? Vaginal sex means a man's penis in your vagina."
SXQ741,Questionnaire,Have you ever performed oral sex on a woman? Performing oral sex means your mouth on a woman's vagina or genitals.
SXQ753,Questionnaire,Has a doctor or other health care professional ever told you that you had human papillomavirus or HPV?
SXQ800,Questionnaire,"Have you ever had vaginal sex, also called sexual intercourse, with a woman? This means your penis in a woman's vagina."
SXQ803,Questionnaire,Have you ever performed oral sex on a woman? This means putting your mouth on a woman's vagina or genitals.
SXQ806,Questionnaire,Have you ever had anal sex with a woman? Anal sex means contact between your penis and a woman's anus or butt.
SXQ809,Questionnaire,"Have you ever had any kind of sex with a man, including oral or anal?"
SXQ824,Questionnaire,"In your lifetime, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina."
SXQ827,Questionnaire,"In the past 12 months, with how many women have you had vaginal sex? Vaginal sex means your penis in a woman's vagina."
SXQ836,Questionnaire,"In your lifetime, with how many men have you had anal sex?"
SXQ841,Questionnaire,"In the past 12 months, with how many men have you had anal sex?"
SXQ853,Questionnaire,Have you ever performed oral sex on a man? Performing oral sex means your mouth on a man's penis or genitals.
ALD020,Questionnaire,"During your life, on how many days have you had at least one drink of alcohol?"
ALD030,Questionnaire,"During the past 30 days, on how many days did you have at least one drink of alcohol?"
ALD040,Questionnaire,"During the past 30 days, on how many days did you have {'4' Female, '5' Male - DISPLAY NUMBER} or more drinks of alcohol in a row, that is, within a couple of hours?"
ALQ010,Questionnaire,"How old were you when you had your first drink of alcohol, other than a few sips?"
SEQN,Questionnaire,Respondent sequence number.
ALQ111,Questionnaire,"The next questions are about drinking alcoholic beverages. Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.
In {your/SP's} entire life, {have you/has he/has she} had at least 1 drink of any kind of alcohol, not counting small tastes or sips? By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and a half ounces of liquor."
ALQ121,Questionnaire,"During the past 12 months, about how often did {you/SP} drink any type of alcoholic beverage?
PROBE: How many days per week, per month, or per year did {you/SP} drink?"
ALQ130,Questionnaire,"During the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have? By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and a half ounces of liquor.)"
ALQ142,Questionnaire,"During the past 12 months, about how often did {you/SP} have {DISPLAY NUMBER} or more drinks of any alcoholic beverage?
PROBE: How many days per week, per month, or per year did {you/SP} have {DISPLAY NUMBER} or more drinks in a single day?"
ALQ151,Questionnaire,Was there ever a time or times in {your/SP's} life when {you/he/she} drank {DISPLAY NUMBER} or more drinks of any kind of alcoholic beverage almost every day?
ALQ170,Questionnaire,"Considering all types of alcoholic beverages, during the past 30 days, how many times did you have {5/4} or more drinks on an occasion?"
ALQ270,Questionnaire,"During the past 12 months, about how often did {you/SP} have {DISPLAY NUMBER} or more drinks in a period of two hours or less?"
ALQ280,Questionnaire,"During the past 12 months, about how often did {you/SP} have 8 or more drinks in a single day?"
ALQ290,Questionnaire,"During the past 12 months, about how often did {you/SP} have 12 or more drinks in a single day?"
SEQN,Questionnaire,Respondent sequence number.
SEQN,Questionnaire,Respondent sequence number.
VTD241B,Questionnaire,"Now I am going to ask you a few questions about {your/SP's} activities over the last 48 hours.  This means today or yesterday. How long ago, in hours, did {you/she/he} cook or bake with natural gas?"
VTD244B,Questionnaire,"How long ago, in hours, did {you/she/he} pump gas into a car or other motor vehicle {yourself/herself/ himself}?"
VTD251B,Questionnaire,"How long ago, in hours, has it been since {you/she/he} spent time at a swimming pool, in a hot tub, or in a steam room?"
VTD261B,Questionnaire,"How long ago, in hours, has it been since {you/she/he} used dry cleaning solvents, visited a dry cleaning shop or wore clothes that had been dry-cleaned within the last week?"
VTD271B,Questionnaire,"How long ago, in hours, has it been since {your/SP's} last shower or hot bath?"
VTD281B,Questionnaire,"How long ago, in hours, has it been since {you/she/he} breathed fumes from freshly painted indoor surfaces, paints, paint thinner, or varnish?"
VTD281D,Questionnaire,"How long ago, in hours, has it been since {you/she/he} breathed fumes from diesel fuel or kerosene?"
VTD281F,Questionnaire,"How long ago, in hours, has it been since {you/she/he} breathed fumes from fingernail polish?"
VTQ200A,Questionnaire,{Do you/Does she/Does he} currently store paints or fuels inside {your/her/his} home?  Include {your/her/his} basement {and attached garage}.
VTQ210,Questionnaire,"First,  I would like to ask you a few questions about {your/SP's} home.  Does {your/her/his} home have an attached garage?"
VTQ231A,Questionnaire,"{Do you/Does she/Does he} currently use moth balls, moth crystals or toilet bowl deodorizers inside {your/her/his} home?"
VTQ233A,Questionnaire,"In the last three days, did {you/she/he} inhale smoke from any source for 10 or more minutes?"
VTQ233B,Questionnaire,When did {you/she/he} last spend 10 or more minutes inhaling smoke?
VTQ241A,Questionnaire,"Now I am going to ask you a few questions about {your/SP's} activities over the last 48 hours.  This means today or yesterday.  In the last 48 hours, did {you/she/he} cook or bake with natural gas?"
VTQ244A,Questionnaire,"In the last 48 hours, did {you/she/he} pump gas into a car or other motor vehicle {yourself/herself/ himself}?"
VTQ251A,Questionnaire,"In the last 48 hours, did {you/she/he} spend any time at a swimming pool, in a hot tub, or in a steam room?"
VTQ261A,Questionnaire,"In the last 48 hours, did {you/she/he} use dry cleaning solvents, visit a dry cleaning shop or wear clothes that had been dry-cleaned within the last week?"
VTQ271A,Questionnaire,"In the last 48 hours, did {you/she/he} take a hot shower or bath for five minutes or longer?"
VTQ281A,Questionnaire,"In the last 48 hours, did {you/she/he} breathe fumes from freshly painted indoor surfaces, paints, paint thinner, or varnish?"
VTQ281C,Questionnaire,"In the last 48 hours, did {you/she/he} breathe fumes from diesel fuel or kerosene?"
VTQ281E,Questionnaire,"In the last 48 hours, did {you/she/he} breathe fumes from fingernail polish?"
WTSVOC2Y,Questionnaire,VOC Subsample Weight
CBD760,Questionnaire,How old are you?
CBD765,Questionnaire,Which of the following best describe your highest education level?
CBD770,Questionnaire,What is the gender of the respondent?
CBQ502,Questionnaire,Do you have the green hand card booklet? {It is in the same bag as the food measuring guides [you used for your/we used for SP’s] dietary phone interview. I'll wait while you locate it. Do you have it?}
CBQ503,Questionnaire,"Let's go ahead with the interview anyway.  Do you have a cereal box, can or package of food with a food label on the back or the side that you can use for this interview?  I'll wait while you locate it."
CBQ506,Questionnaire,"I am going to ask you about eating foods and beverages from different places. The types of places are listed on hand card 1 in your booklet.  Please turn to hand card 1. We will start with foods or beverages from fast food or pizza places, then I'll go down the list and ask you about each of the other places.}  For the first few questions, please answer yes or no.
In the past 12 months, did you buy food from fast food or pizza places?"
CBQ536,Questionnaire,"At the last fast food or pizza place you bought foods or beverages, did you notice any calorie information on the menu?"
CBQ541,Questionnaire,Did you use the information in deciding what to buy?
CBQ551,Questionnaire,"In the past 12 months, did you eat in or get take-out from a restaurant with waiter or waitress service?"
CBQ581,Questionnaire,"The last time you ate or got take-out from a restaurant with a waiter or waitress, did you notice any calorie information on the menu?"
CBQ586,Questionnaire,Did you use the information in deciding what to order?
CBQ685,Questionnaire,"{Please turn to hand cards 16 and 17.}  How about the information on the percent daily value?  [How often do you use information on the percent daily value on a food label, {such as the part colored in blue on hand card 16,} when deciding to buy a food product?] [Would you say always, most of the time, sometimes, rarely, or never?]"
CBQ695a,Questionnaire,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is..."
CBQ695b,Questionnaire,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is..."
CBQ695c,Questionnaire,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is..."
CBQ698a,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698b,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698c,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698cd,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698d,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698e,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698f,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698g,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698h,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698i,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ700,Questionnaire,"{Now turn the page to use hand card 3.} Many food packages contain an expiration date such as ""use by"" or ""sell by"". How often do you use the expiration date when deciding to buy a food product? Would you say always, most of the time, sometimes, rarely, or never?"
CBQ738a,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738b,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738c,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738cd,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738d,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738e,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738f,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738g,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738h,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738i,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738j,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738k,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ785,Questionnaire,The interview was completed in:
CBQ830,Questionnaire,"In the past 12 months, did you eat at an all-you-can-eat buffet style restaurant?"
CBQ835,Questionnaire,"The last time you ate at an all-you-can-eat buffet style restaurant, did you notice any calorie information on the menu?"
CBQ840,Questionnaire,Did you use the information in deciding what to eat?
CBQ845,Questionnaire,"In the past 12 months, did you buy any foods or beverages at a place that sells mostly beverages such as a coffee shop or juice bar?"
CBQ850,Questionnaire,"The last time you bought foods or beverages at a place that sells mostly beverages, did you notice any calorie information on the menu?"
CBQ855,Questionnaire,Did you use the information in deciding what to order?
CBQ860,Questionnaire,"In the past 12 months, did you buy any foods or beverages at movie theaters, sports arenas, or other places of recreation?"
CBQ865,Questionnaire,"The last time you bought foods or beverages at a movie theater, sports arena, or other place of recreation, did you notice any calorie information on the menu?"
CBQ870,Questionnaire,Did you use the information in deciding what to order?
CBQ875,Questionnaire,"In the past 12 months, did you buy prepared foods such as salads, soups, chicken, sandwiches and cooked vegetables from grocery store salad bars and deli counters?"
CBQ880,Questionnaire,"The last time you bought prepared foods at a grocery store, did you notice any calorie information about these foods?"
CBQ885,Questionnaire,Did you use the information in deciding what to buy?
CBQ890,Questionnaire,"In the past 12 months, did you buy prepared foods at convenience stores including gas stations or corner stores?"
CBQ895,Questionnaire,"The last time you bought prepared foods at a convenience store, including a gas station or corner store, did you notice any calorie information about these foods?"
CBQ900,Questionnaire,Did you use the information in deciding what to buy?
CBQ905,Questionnaire,"{Please turn to hand cards 12 and 13.}  How about the information on the number of servings in the package?  [How often do you use information on the number of servings in the package on a food label, {such as the part colored in purple on hand card 12,} when deciding to buy a food product?]   [Would you say always, most of the time, sometimes, rarely, or never?]"
CBQ910,Questionnaire,"{Please turn to hand cards 14 and 15.}  How about the information contained in the footnote?  [How often do you use information contained in the footnote on a food label, {such as the part colored in orange on hand card 14,} when deciding to buy a food product?]  [Would you say always, most of the time, sometimes, rarely, or never?]"
CBQ915,Questionnaire,"{For the next question you'll use {hand cards 19 & 21} to respond, but first please look at {hand card 18/hand card 20.}  Which one do you use more often when deciding to buy a food product - information on the food label about Percent Daily Value, {such as the part colored in blue on {hand card 18/hand card 20},} or about the amount of nutrients such as the value in grams or milligrams noted next to each nutrient {such as the part highlighted in yellow}?  {Looking at {hand card 19/hand card 21},} would you say you use..."
CBQ925,Questionnaire,Now turn to {hand cards 22 and 23/hand cards 24 and 25}. The label of the product shows 5% Daily Value for Vitamin A in a serving of the product.  What does the 5% Daily Value mean to you?
CBQ930,Questionnaire,"{Look at hand cards 26 and 27.}  How often do you use the calorie information on a food label, {such as the part colored in green,} when deciding to buy a food product?  Would you say always, most of the time, sometimes, rarely, or never?"
CBQ935,Questionnaire,"{Please turn your hand cards to the next page.}  How about information on sugars?  [How often do you use information on sugars on a food label, {such as the part colored in pink on hand card 28,} when deciding to buy a food product?]  Would you say always, most of the time, sometimes, rarely, or never?"
CBQ945,Questionnaire,"{Now turn to hand cards 30 and 31.}  How about information on sodium?  [How often do you use information on sodium on a food label, {such as the part colored in blue on hand card 30,} when deciding to buy a food product?]  [Would you say always, most of the time, sometimes, rarely, or never?]"
CBQ950,Questionnaire,"{Please turn to the next hand card page.}  Some food packages contain two column labels. {For example, the one shown in hand card 32}. The first column has nutrient information for one serving of the food, and the second column contains information for the entire package.  On packages containing two column labels, how often do you use the second column with information per container when deciding to buy a food product?  Would you say always, most of the time, sometimes, rarely, or never?"
DBD930,Questionnaire,Are you the person who does most of the planning or preparing of meals in your family?
DBD935,Questionnaire,Do you share in the planning or preparing of meals with someone else?
DBD940,Questionnaire,Are you the person who does most of the shopping for food in your family?
DBD945,Questionnaire,Do you share in the shopping for food with someone else?
DBQ750,Questionnaire,"{Please turn to hand card 6. For the next few questions you'll use hand card 7 to respond, but first please look at hand card 6 which shows an example of the food label. How often do you use the Nutrition Facts panel on a food label, such as the part colored in yellow on the sample food label on hand card 6, when deciding to buy a food product?} {Looking at hand card 7,} would you say always, most of the time, sometimes, rarely, or never?"
DBQ760,Questionnaire,"{Please turn to hand card 8. Again, for the next question, you’ll use hand card 9 to respond, but first look at hand card 8.} How often do you use the list of ingredients on a food label, {such as the part colored in pink on hand card 8,} when deciding to buy a food product? Would you say always, most of the time, sometimes, rarely, or never?"
DBQ770,Questionnaire,"{Please turn your hand card to the next page.} How about the information on the serving size? [HAND CARD # 10] How often do you use information on the serving size on a food label, {such as the part colored in green on hand card 10,} when deciding to buy a food product?] Would you say always, most of the time, sometimes, rarely, or never?]"
DBQ780,Questionnaire,"Some food packages contain health claims about the benefits of nutrients or foods {like the examples on hand card 4}. How often do you use this kind of health claim when deciding to buy a product? Using hand card 5, would you say always, most of the time, sometimes, rarely, or never?"
SEQN,Questionnaire,Respondent sequence number.
WTDRD1,Questionnaire,Dietary day one sample weight
CBQ502,Questionnaire,Do you have the green hand card booklet? {It is in the same bag as the food measuring guides [you used for your/we used for SP’s] dietary phone interview. I'll wait while you locate it. Do you have it?}
CBQ503,Questionnaire,"Let's go ahead with the interview anyway.  Do you have a cereal box, can or package of food with a food label on the back or the side that you can use for this interview?  I'll wait while you locate it."
CBQ506,Questionnaire,"I am going to ask you about eating foods and beverages from different places. The types of places are listed on hand card 1 in your booklet.  Please turn to hand card 1. We will start with foods or beverages from fast food or pizza places, then I'll go down the list and ask you about each of the other places.}  For the first few questions, please answer yes or no.
In the past 12 months, did you buy food from fast food or pizza places?"
CBQ536,Questionnaire,"At the last fast food or pizza place you bought foods or beverages, did you notice any calorie information on the menu?"
CBQ541,Questionnaire,Did you use the information in deciding what to buy?
CBQ551,Questionnaire,"In the past 12 months, did you eat in or get take-out from a restaurant with waiter or waitress service?"
CBQ581,Questionnaire,"The last time you ate or got take-out from a restaurant with a waiter or waitress, did you notice any calorie information on the menu?"
CBQ586,Questionnaire,Did you use the information in deciding what to order?
CBQ645,Questionnaire,{Please turn to hand card 2.} About how many calories do you think a {man/woman} of your age and physical activity needs to consume a day to maintain your current weight?
CBQ685,Questionnaire,"{Please turn to hand cards 16 and 17.}  How about the information on the percent daily value?  [How often do you use information on the percent daily value on a food label, {such as the part colored in blue on hand card 16,} when deciding to buy a food product?] [Would you say always, most of the time, sometimes, rarely, or never?]"
CBQ695a,Questionnaire,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is..."
CBQ695b,Questionnaire,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is..."
CBQ695c,Questionnaire,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is..."
CBQ698a,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698b,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698c,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698cd,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698d,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698e,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698f,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698g,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698h,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ698i,Questionnaire,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.}
CBQ700,Questionnaire,"{Now turn the page to use hand card 3.} Many food packages contain an expiration date such as ""use by"" or ""sell by"". How often do you use the expiration date when deciding to buy a food product? Would you say always, most of the time, sometimes, rarely, or never?"
CBQ738a,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738b,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738c,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738cd,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738d,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738e,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738f,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738g,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738h,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
CBQ738i,Questionnaire,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.}
