Variable,Encoding
OCQ260,"{1: 'An employee of a private company, business, or individual for wages, salary, or commission.', 2: 'A federal government employee', 3: 'A state government employee', 4: 'A local government employee', 5: 'Self-employed in own business, professional practice or farm.', 6: 'Working without pay in family business or farm', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
OCD270,"{0: 'Less than 1 month', 480: '480 Months or more', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
OCQ670,"{1: 'Traditional 9 AM to 5 PM day', 2: 'Evening or nights', 3: 'Early mornings', 5: 'Variable (early mornings, days, and nights)', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OCQ380,"{1: 'Taking care of house or family', 2: 'Going to school', 3: 'Retired', 4: 'Unable to work for health reasons', 5: 'On layoff', 6: 'Disabled', 7: 'Other', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
OCD390G,"{1: 'Enter occupation', 2: 'Same as current occupation', 3: 'Armed forces', 4: 'Never worked', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OCD395,"{5: '0-5 Months', 600: '600 Months or more', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
OHQ030,"{1: '6 months or less', 2: 'More than 6 months, but not more than 1 year ago', 3: 'More than 1 year, but not more than 2 years ago', 4: 'More than 2 years, but not more than 3 years ago', 5: 'More than 3 years, but not more than 5 years ago', 6: 'More than 5 years ago', 7: 'Never have been', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
OHQ033,"{1: 'Went in on own for check-up, examination, or cleaning', 2: 'Was called in by the dentist for check-up, examination, or cleaning', 3: 'Something was wrong, bothering or hurting {me/SP}', 4: 'Went for treatment of a condition that dentist discovered at earlier checkup or examination', 5: 'Other', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ770,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ780A,"{10: 'Could not afford the cost', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
OHQ780B,"{11: 'Did not want to spend the money', '.': 'Missing'}"
OHQ780C,"{12: 'Insurance did not cover recommended procedure', '.': 'Missing'}"
OHQ780D,"{13: 'Dental office is too far away', '.': 'Missing'}"
OHQ780E,"{14: 'Dental office not open at convenient time', '.': 'Missing'}"
OHQ780F,"{15: 'Another dentist recommended not doing it', '.': 'Missing'}"
OHQ780G,"{16: 'Afraid or do not like dentists', '.': 'Missing'}"
OHQ780H,"{17: 'Unable to take time off from work', '.': 'Missing'}"
OHQ780I,"{18: 'Too busy', '.': 'Missing'}"
OHQ780J,"{19: 'I did not think anything serious was wrong - expected dental problems to go away', '.': 'Missing'}"
OHQ780K,"{20: 'Other', '.': 'Missing'}"
OHQ555G,"{1: 'Enter age', 2: 'Has not started brushing teeth', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ555Q,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
OHQ555U,"{1: 'Months', 2: 'Years', '.': 'Missing'}"
OHQ560G,"{1: 'Enter age', 2: 'Has not started brushing teeth', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ560Q,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
OHQ560U,"{1: 'Months', 2: 'Years', '.': 'Missing'}"
OHQ566,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ571Q,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
OHQ571U,"{1: 'Month', 2: 'Years', '.': 'Missing'}"
OHQ576G,"{1: 'Age', 2: 'Still taking fluoride drops or tablets', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ576Q,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
OHQ576U,"{1: 'Months', 2: 'Years', '.': 'Missing'}"
OHQ610,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ612,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ614,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ620,"{1: 'Very often', 2: 'Fairly often', 3: 'Occasionally', 4: 'Hardly ever, or', 5: 'Never?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ640,"{1: 'Very often', 2: 'Fairly often', 3: 'Occasionally', 4: 'Hardly ever, or', 5: 'Never?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ680,"{1: 'Very often', 2: 'Fairly often', 3: 'Occasionally', 4: 'Hardly ever, or', 5: 'Never?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ835,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ845,"{1: 'Excellent', 2: 'Very good', 3: 'Good', 4: 'Fair', 5: 'Poor', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ848G,"{1: 'Enter number', 2: 'Child does not brush yet', 3: 'Does not brush every day', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ848Q,"{1: '1 time', 2: '2 times', 3: '3 times', 4: '4 times', 5: '5 times', 6: '6 times', 7: '7 times', 8: '8 times', 9: '9 or more times', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
OHQ849,"{1: 'Full load', 2: 'Half load', 3: 'Pea size', 4: 'Smear', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ850,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ860,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ870,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
OHQ880,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ895,"{1: 'Within past year', 2: 'Between 1 and 3 years ago', 3: 'Over 3 years ago', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OHQ900,"{1: 'Doctor/physician', 2: 'Nurse/nurse practitioner', 3: 'Dentist (include oral surgeons)', 4: 'Dental Hygienist', 5: 'Other', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ010a,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ010b,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ010c,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ020a,"{1: '1', 2: '2', 3: '3', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
OSQ020b,"{1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
OSQ020c,"{1: '1', 2: '2', 3: '3', 4: '4', 5: '5', 7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
OSD030aa,"{80: '80 or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
OSQ040aa,"{1: 'Under 50 years old, or', 2: '50 years old or older?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD050aa,"{1: 'A fall from standing height or less, for example, tripped, slipped, fell out of bed', 2: 'A hard fall, such as falling off a ladder or step stool, down stairs', 3: 'A car accident or other severe trauma', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD030ab,"{80: '80 or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
OSQ040ab,"{1: 'Under 50 years old, or', 2: '50 years old or older?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD050ab,"{1: 'A fall from standing height or less, for example, tripped, slipped, fell out of bed', 2: 'A hard fall, such as falling off a ladder or step stool, down stairs', 3: 'A car accident or other severe trauma', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD030ac,"{65: '65', 80: '80 or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
OSQ040ac,"{1: 'Under 50 years old, or', 2: '50 years old or older?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD050ac,"{1: 'A fall from standing height or less, for example, tripped, slipped, fell out of bed', 2: 'A hard fall, such as falling off a ladder or step stool, down stairs', 3: 'A car accident or other severe trauma', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD030ba,"{80: '80 or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
OSQ040ba,"{1: 'Under 50 years old, or', 2: '50 years old or older?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD050ba,"{1: 'A fall from standing height or less, for example, tripped, slipped, fell out of bed', 2: 'A hard fall, such as falling off a ladder or step stool, down stairs', 3: 'A car accident or other severe trauma', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD030bb,"{80: '80 or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
OSQ040bb,"{1: 'Under 50 years old, or', 2: '50 years old or older?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD050bb,"{1: 'A fall from standing height or less, for example, tripped, slipped, fell out of bed', 2: 'A hard fall, such as falling off a ladder or step stool, down stairs', 3: 'A car accident or other severe trauma', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD030bc,"{80: '80 or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
OSQ040bc,"{1: 'Under 50 years old, or', 2: '50 years old or older?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD050bc,"{1: 'A fall from standing height or less, for example, tripped, slipped, fell out of bed', 2: 'A hard fall, such as falling off a ladder or step stool, down stairs', 3: 'A car accident or other severe trauma', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD030bd,"{80: '80 or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
OSQ040bd,"{1: 'Under 50 years old, or', 2: '50 years old or older?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD050bd,"{1: 'A fall from standing height or less, for example, tripped, slipped, fell out of bed', 2: 'A hard fall, such as falling off a ladder or step stool, down stairs', 3: 'A car accident or other severe trama?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD030be,"{80: '80 or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
OSQ040be,"{1: 'Under 50 years old, or', 2: '50 years old or older?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD050be,"{1: 'A fall from standing height or less, for example, tripped, slipped, fell out of bed', 2: 'A hard fall, such as falling off a ladder or step stool, down stairs or...', 3: 'A car accident or other severe trama?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD030ca,"{80: '80 or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
OSQ040ca,"{1: 'Under 50 years old, or', 2: '50 years old or older?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD050ca,"{1: 'A fall from standing height or less, for example, tripped, slipped, fell out of bed', 2: 'A hard fall, such as falling off a ladder or step stool, down stairs', 3: 'A car accident or other severe trauma', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD030cb,"{80: '80 or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
OSQ040cb,"{1: 'Under 50 years old, or', 2: '50 years old or older?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD050cb,"{1: 'A fall from standing height or less, for example, tripped, slipped, fell out of bed', 2: 'A hard fall, such as falling off a ladder or step stool, down stairs', 3: 'A car accident or other severe trauma', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD030cc,"{80: '80 or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
OSQ040cc,"{1: 'Under 50 years old, or', 2: '50 years old or older?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD050cc,"{1: 'A fall from standing height or less, for example, tripped, slipped, fell out of bed', 2: 'A hard fall, such as falling off a ladder or step stool, down stairs or...', 3: 'A car accident or other severe trama?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD030cd,"{80: '80 or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
OSQ040cd,"{1: 'Under 50 years old, or', 2: '50 years old or older?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD050cd,"{1: 'A fall from standing height or less, for example, tripped, slipped, fell out of bed', 2: 'A hard fall, such as falling off a ladder or step stool, down stairs or...', 3: 'A car accident or other severe trama?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD030ce,"{58: '58', 80: '80 or older', 77777: 'Refused', 99999: ""Don't know"", '.': 'Missing'}"
OSQ040ce,"{1: 'Under 50 years old, or', 2: '50 years old or older?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSD050ce,"{1: 'A fall from standing height or less, for example, tripped, slipped, fell out of bed', 2: 'A hard fall, such as falling off a ladder or step stool, down stairs or...', 3: 'A car accident or other severe trama?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ080,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ090a,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ100a,"{10: 'HEAD/FACE', 11: 'UPPER ARM (HUMERUS)', 12: 'LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)', 13: 'ELBOW', 14: 'HAND', 15: 'FINGERS', 16: 'SHOULDER', 17: 'COLLAR BONE', 18: 'RIBS (EITHER SIDE)', 19: 'PELVIS (NOT HIP)', 20: 'UPPER LEG (THIGH EXCLUDING HIP)', 21: 'LOWER LEG (BETWEEN ANKLE AND KNEE)', 22: 'KNEE (PATELLA)', 23: 'ANKLE', 24: 'HEEL', 25: 'FOOT', 26: 'TOES', 27: 'OTHER (DO NOT SPECIFY)', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
OSD110a,"{80: '80 or older', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
OSQ120a,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ090b,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ100b,"{10: 'HEAD/FACE', 11: 'UPPER ARM (HUMERUS)', 12: 'LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)', 13: 'ELBOW', 14: 'HAND', 15: 'FINGERS', 16: 'SHOULDER', 17: 'COLLAR BONE', 18: 'RIBS (EITHER SIDE)', 19: 'PELVIS (NOT HIP)', 20: 'UPPER LEG (THIGH EXCLUDING HIP)', 21: 'LOWER LEG (BETWEEN ANKLE AND KNEE)', 22: 'KNEE (PATELLA)', 23: 'ANKLE', 24: 'HEEL', 25: 'FOOT', 26: 'TOES', 27: 'OTHER (DO NOT SPECIFY)', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
OSD110b,"{80: '80 or older', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
OSQ120b,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ090c,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ100c,"{10: 'HEAD/FACE', 11: 'UPPER ARM (HUMERUS)', 12: 'LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)', 13: 'ELBOW', 14: 'HAND', 15: 'FINGERS', 16: 'SHOULDER', 17: 'COLLAR BONE', 18: 'RIBS (EITHER SIDE)', 19: 'PELVIS (NOT HIP)', 20: 'UPPER LEG (THIGH EXCLUDING HIP)', 21: 'LOWER LEG (BETWEEN ANKLE AND KNEE)', 22: 'KNEE (PATELLA)', 23: 'ANKLE', 24: 'HEEL', 25: 'FOOT', 26: 'TOES', 27: 'OTHER (DO NOT SPECIFY)', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
OSD110c,"{80: '80 or older', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
OSQ120c,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ090d,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ100d,"{10: 'HEAD/FACE', 11: 'UPPER ARM (HUMERUS)', 12: 'LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)', 13: 'ELBOW', 14: 'HAND', 15: 'FINGERS', 16: 'SHOULDER', 17: 'COLLAR BONE', 18: 'RIBS (EITHER SIDE)', 19: 'PELVIS (NOT HIP)', 20: 'UPPER LEG (THIGH EXCLUDING HIP)', 21: 'LOWER LEG (BETWEEN ANKLE AND KNEE)', 22: 'KNEE (PATELLA)', 23: 'ANKLE', 24: 'HEEL', 25: 'FOOT', 26: 'TOES', 27: 'OTHER (DO NOT SPECIFY)', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
OSD110d,"{80: '80 or older', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
OSQ120d,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ090e,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ100e,"{10: 'HEAD/FACE', 11: 'UPPER ARM (HUMERUS)', 12: 'LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)', 13: 'ELBOW', 14: 'HAND', 15: 'FINGERS', 16: 'SHOULDER', 17: 'COLLAR BONE', 18: 'RIBS (EITHER SIDE)', 19: 'PELVIS (NOT HIP)', 20: 'UPPER LEG (THIGH EXCLUDING HIP)', 21: 'LOWER LEG (BETWEEN ANKLE AND KNEE)', 22: 'KNEE (PATELLA)', 23: 'ANKLE', 24: 'HEEL', 25: 'FOOT', 26: 'TOES', 27: 'OTHER (DO NOT SPECIFY)', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
OSD110e,"{80: '80 or older', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
OSQ120e,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ090f,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ100f,"{10: 'HEAD/FACE', 11: 'UPPER ARM (HUMERUS)', 12: 'LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)', 13: 'ELBOW', 14: 'HAND', 15: 'FINGERS', 16: 'SHOULDER', 17: 'COLLAR BONE', 18: 'RIBS (EITHER SIDE)', 19: 'PELVIS (NOT HIP)', 20: 'UPPER LEG (THIGH EXCLUDING HIP)', 21: 'LOWER LEG (BETWEEN ANKLE AND KNEE)', 22: 'KNEE (PATELLA)', 23: 'ANKLE', 24: 'HEEL', 25: 'FOOT', 26: 'TOES', 27: 'OTHER (DO NOT SPECIFY)', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
OSD110f,"{80: '80 or older', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
OSQ120f,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ090g,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ120g,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ090h,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ120h,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ090i,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ120i,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ090j,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ100j,"{10: 'HEAD/FACE', 11: 'UPPER ARM (HUMERUS)', 12: 'LOWER ARM BETWEEN WRIST AND ELBOW (DO NOT INCLUDE WRIST)', 13: 'ELBOW', 14: 'HAND', 15: 'FINGERS', 16: 'SHOULDER', 17: 'COLLAR BONE', 18: 'RIBS (EITHER SIDE)', 19: 'PELVIS (NOT HIP)', 20: 'UPPER LEG (THIGH EXCLUDING HIP)', 21: 'LOWER LEG (BETWEEN ANKLE AND KNEE)', 22: 'KNEE (PATELLA)', 23: 'ANKLE', 24: 'HEEL', 25: 'FOOT', 26: 'TOES', 27: 'OTHER (DO NOT SPECIFY)', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
OSD110j,"{80: '80 or older', 777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
OSQ120j,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ060,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ072,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ130,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ140q,"{777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
OSQ140u,"{1: 'Month', 2: 'Year', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ150,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ160a,"{1: 'Mother', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ160b,"{2: 'Father', '.': 'Missing'}"
OSQ170,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ180,"{777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
OSQ190,"{1: 'under 50 years or', 2: '50 years or older?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ200,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
OSQ210,"{777: 'Refused', 999: ""Don't know"", '.': 'Missing'}"
OSQ220,"{1: 'Under 50 years old, or', 2: '50 years old or older?', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PUQ100,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PUQ110,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PAQ605,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PAQ610,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
PAD615,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
PAQ620,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PAQ625,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
PAD630,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
PAQ635,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PAQ640,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
PAD645,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
PAQ650,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PAQ655,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
PAD660,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
PAQ665,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PAQ670,"{77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
PAD675,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
PAD680,"{7777: 'Refused', 9999: ""Don't know"", '.': 'Missing'}"
PAQ706,"{0: '0 days', 1: '1 day', 2: '2 days', 3: '3 days', 4: '4 days', 5: '5 days', 6: '6 days', 7: '7 days', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
PAQ710,"{0: 'Less than 1 hour,', 1: '1 hour,', 2: '2 hours,', 3: '3 hours,', 4: '4 hours, or', 5: '5 hours or more, or', 8: ""{You don't/SP does not} watch TV or videos"", 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
PAQ715,"{0: 'Less than 1 hour,', 1: '1 hour,', 2: '2 hours,', 3: '3 hours,', 4: '4 hours, or', 5: '5 hours or more, or', 8: '{you do not/SP does not} use a computer outside of school', 77: 'Refused', 99: ""Don't know"", '.': 'Missing'}"
PFQ020,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ030,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ033,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ041,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ049,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ051,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ054,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ057,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ059,"{1: 'Yes', 2: 'No', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061A,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061B,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061C,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061D,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061E,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061F,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061G,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061H,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
PFQ061I,"{1: 'No difficulty', 2: 'Some difficulty', 3: 'Much difficulty', 4: 'Unable to do', 5: 'Do not do this activity', 7: 'Refused', 9: ""Don't know"", '.': 'Missing'}"
