Variable,DataType,Label,Plain Description,Target
OSQ120i,questionnaire,Any other fractures?,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?,Both males and females 50 YEARS -150 YEARS
OSQ090j,questionnaire,Fracture result of severe trauma?,"Was this fracture the result of severe trauma such as a car accident, being struck by a vehicle, a physical attack, or a hard fall such as falling off a ladder or down stairs?",Both males and females 50 YEARS -150 YEARS
OSQ100j,questionnaire,Where fracture occurred,Please look at this card and tell me where the fracture occurred.,Both males and females 50 YEARS -150 YEARS
OSD110j,questionnaire,How old when fracture occurred?,How old {were you/was SP} when {you/SP} fractured {your/his/her} (fracture site selected in OSQ.100) for the first time after age 20?,1 to 79
OSQ120j,questionnaire,Any other fractures?,Has a doctor ever told {you/SP} that {you/s/he} had broken or fractured any other bones after {you were/s/he was} 20 years of age?,Both males and females 50 YEARS -150 YEARS
OSQ129,questionnaire,,"CHECK ITEM OSQ129:  IF OSQ120 = 1 (YES), CONTINUE WITH LOOP 2. OTHERWISE, GO TO OSQ060. LOOP 2: ASK OSQ090 - OSQ120 FOR NEXT INCIDENT OF FRACTURE. IF NO NEXT INCIDENT, CONTINUE.",Both males and females 50 YEARS -150 YEARS
OSQ060,questionnaire,Ever told had osteoporosis/brittle bones,"Has a doctor ever told {you/SP} that {you/s/he} had osteoporosis, sometimes called thin or brittle bones?",Both males and females 50 YEARS -150 YEARS
OSQ072,questionnaire,Doctor prescribe RX for osteoporosis?,Please look at the drugs on this card that are prescribed for osteoporosis. {Have you/Has SP} ever been told by a doctor or other health care professional to take a prescribed medicine for osteoporosis?,Both males and females 50 YEARS -150 YEARS
OSQ130,questionnaire,Ever taken prednisone or cortisone daily,{Have you/has SP} ever taken any prednisone or cortisone pills nearly every day for a month or longer?  [Prednisone and cortisone are types of steroids.],Both males and females 50 YEARS -150 YEARS
OSQ140q,questionnaire,How long used prednisone or cortisone?,Please think about {your/SP's} use of prednisone or cortisone during {your/his/her} lifetime.  For how long did {you/s/he} use prednisone or cortisone nearly every day?  Do not count the months or years when {you were/s/he was} not taking the medicine.,Both males and females 50 YEARS -150 YEARS
OSQ140u,questionnaire,How long used prednisone or cortisone?,"How long used prednisone or cortisone: month, year?",Both males and females 50 YEARS -150 YEARS
OSQ150,questionnaire,Parents ever told had osteoporosis?,"Including living and deceased, were either of {your/SP's} biological parents ever told by a health professional that they had osteoporosis or brittle bones?",Both males and females 50 YEARS -150 YEARS
OSQ160a,questionnaire,Mother was told had osteoporosis,Mother was told had osteoporosis?,Both males and females 50 YEARS -150 YEARS
OSQ160b,questionnaire,Father was told had osteoporosis,Father was told had osteoporosis?,Both males and females 50 YEARS -150 YEARS
OSQ170,questionnaire,Did mother ever fracture hip?,Did {your/SP's} biological mother ever fracture her hip?,Both males and females 50 YEARS -150 YEARS
OSQ180,questionnaire,How old mother when fractured hip?,About how old was your mother when she fractured her hip (the first time)?,1 to 150
OSQ190,questionnaire,Over or under 50 years old?,Was she. . .,Both males and females 50 YEARS -150 YEARS
OSQ200,questionnaire,Did father ever fracture hip?,Did {your/SP's} biological father ever fracture his hip?,Both males and females 50 YEARS -150 YEARS
OSQ210,questionnaire,How old father when fractured hip?,About how old was your father when he fractured his hip (the first time)?,1 to 150
OSQ220,questionnaire,Over or under 50 years old?,Was he . . .,Both males and females 50 YEARS -150 YEARS
PUQ100,questionnaire,Products used in home to control insects,"In the past 7 days, were any chemical products used in {your/his/her} home to control fleas, roaches, ants, termites, or other insects?",Both males and females 6 YEARS -150 YEARS
PUQ110,questionnaire,Products used to kill weeds?,"In the past 7 days, were any chemical products used in {your/his/her} lawn or garden to kill weeds?",Both males and females 6 YEARS -150 YEARS
PAQ605,questionnaire,Vigorous work activity,"Next I am going to ask you about the time {you spend/SP spends} doing different types of physical activity in a typical week. Think first about the time {you spend/he spends/she spends} doing work.  Think of work as the things that {you have/he has/she has} to do such as paid or unpaid work,  household chores, and yard work.  Does {your/SP's} work involve vigorous-intensity activity that causes large increases in breathing or heart rate like carrying or lifting heavy loads, digging or construction work for at least 10 minutes continuously?",Both males and females 18 YEARS -150 YEARS
PAQ610,questionnaire,Number of days vigorous work,"In a typical week, on how many days {do you/does SP} do vigorous-intensity activities as part of {your/his/her} work?",Both males and females 18 YEARS -150 YEARS
PAD615,questionnaire,Minutes vigorous-intensity work,How much time {do you/does SP} spend doing vigorous-intensity activities at work on a typical day?,Both males and females 18 YEARS -150 YEARS
PAQ620,questionnaire,Moderate work activity,Does {your/SP's} work involve moderate-intensity activity that causes small increases in breathing or heart rate such as brisk walking or carrying light loads for at least 10 minutes continuously?,Both males and females 18 YEARS -150 YEARS
PAQ625,questionnaire,Number of days moderate work,"In a typical week, on how many days {do you/does SP} do moderate-intensity activities as part of {your/his/her} work?",Both males and females 18 YEARS -150 YEARS
PAD630,questionnaire,Minutes moderate-intensity work,How much time {do you/does SP} spend doing moderate-intensity activities at work on a typical day?,Both males and females 18 YEARS -150 YEARS
PAQ635,questionnaire,Walk or bicycle,"The next questions exclude the physical activity at work that you have already mentioned.  Now I would like to ask you about the usual way {you travel/SP travels} to and from places.  For example to school, for shopping, to work.  In a typical week  {do you/does SP} walk or use a bicycle for at least 10 minutes continuously to get to and from places?",Both males and females 18 YEARS -150 YEARS
PAQ640,questionnaire,Number of days walk or bicycle,"In a typical week, on how many days {do you/does SP} walk or bicycle for at least 10 minutes continuously to get to and from places?",Both males and females 18 YEARS -150 YEARS
PAD645,questionnaire,Minutes walk/bicycle for transportation,How much time {do you/does SP} spend walking or bicycling for travel on a typical day?,Both males and females 18 YEARS -150 YEARS
PAQ650,questionnaire,Vigorous recreational activities,"The next questions exclude the work and transport activities that you have already mentioned.  Now I would like to ask you about sports, fitness and recreational activities.  In a typical week {do you/does SP} do any vigorous-intensity sports, fitness, or recreational activities that cause large increases in breathing or heart rate like running or basketball for at least 10 minutes continuously?",Both males and females 18 YEARS -150 YEARS
PAQ655,questionnaire,Days vigorous recreational activities,"In a typical week, on how many days {do you/does SP} do vigorous-intensity sports, fitness or recreational activities?",Both males and females 18 YEARS -150 YEARS
PAD660,questionnaire,Minutes vigorous recreational activities,"How much time {do you/does SP} spend doing vigorous-intensity sports, fitness or recreational activities on a typical day?",Both males and females 18 YEARS -150 YEARS
PAQ665,questionnaire,Moderate recreational activities,"In a typical week {do you/does SP} do any moderate-intensity sports, fitness, or recreational activities that cause a small increase in breathing or heart rate such as brisk walking, bicycling, swimming, or volleyball for at least 10 minutes continuously?",Both males and females 18 YEARS -150 YEARS
PAQ670,questionnaire,Days moderate recreational activities,"In a typical week, on how many days {do you/does SP} do moderate-intensity sports, fitness or recreational activities?",Both males and females 18 YEARS -150 YEARS
PAD675,questionnaire,Minutes moderate recreational activities,"How much time {do you/does SP} spend doing moderate-intensity sports, fitness or recreational activities on a typical day?",Both males and females 18 YEARS -150 YEARS
PAD680,questionnaire,Minutes sedentary activity,"The following question is about sitting at school, at home, getting to and from places, or with friends including time spent sitting at a desk, traveling in a car or bus, reading, playing cards, watching television, or using a computer. Do not include time spent sleeping. How much time {do you/does SP} usually spend sitting on a typical day?",Both males and females 18 YEARS -150 YEARS
PAQ706,questionnaire,Days physically active at least 60 min.,"I'd like to ask you some questions about {your/SP's} activities. During the past 7 days, on how many days {were you/was SP} physically active for a total of at least 60 minutes per day? Add up all the time {you/he/she} spent in any kind of physical activity that increased {your/his/her} heart rate and made {you/him/her} breathe hard some of the time.",Both males and females 2 YEARS -17 YEARS
PAQ710,questionnaire,Hours watch TV or videos past 30 days,"Now I will ask you first about TV watching and then about computer use. Over the past 30 days, on average how many hours per day did {you/SP} sit and watch TV or videos? Would you say . . .",Both males and females 2 YEARS -17 YEARS
PAQ715,questionnaire,Hours use computer past 30 days,"Text: Over the past 30 days, on average how many hours per day did {you/SP} use a computer or play computer games outside of school? Include Playstation, Nintendo DS, or other portable video games Would you say . . .",Both males and females 2 YEARS -17 YEARS
PFQ020,questionnaire,"Crawl, walk, run, play limitations","{Do you/Does SP} have an impairment or health problem that limits {your/his/her} ability to {walk, run or play} {walk or run}?",Both males and females 3 YEARS -19 YEARS
PFQ030,questionnaire,Long term impairment/health problem,"Is this an impairment or health problem that has lasted, or is expected to last 12 months or longer?",Both males and females 3 YEARS -19 YEARS
PFQ032,questionnaire,,"BOX 1AA.  CHECK ITEM PFQ032:  IF SP AGE 3-15, CONTINUE. OTHERWISE, GO TO BOX 1BB.",Both males and females 3 YEARS -19 YEARS
PFQ033,questionnaire,Impairment requiring special equipment,"{Do you/Does SP} have any impairment or health problem that requires {you/him/her} to use special equipment, such as a brace, a wheelchair, or a hearing aid (excluding ordinary eyeglasses or corrective shoes)?",Both males and females 3 YEARS -15 YEARS
PFQ035A,questionnaire,,"BOX 1BB.  CHECK ITEM PFQ.035A:  IF SP AGE <= 17, CONTINUE.  OTHERWISE, GO TO PFQ049.",Both males and females 3 YEARS -19 YEARS
PFQ041,questionnaire,Receive special ed or early intervention,Does {SP} receive Special Education or Early Intervention Services?,Both males and females 3 YEARS -17 YEARS
PFQ049,questionnaire,Limitations keeping you from working,"The next set of questions is about limitations caused by any long-term physical, mental or emotional problem or illness.  Please do not include temporary conditions, such as a cold [or pregnancy].  Does a physical, mental or emotional problem now keep {you/SP} from working at a job or business?",Both males and females 20 YEARS -150 YEARS
PFQ051,questionnaire,Limited in amount of work you can do,"{Are you/Is SP} limited in the kind or amount of work {you/s/he} can do because of a physical, mental or emotional problem?",Both males and females 20 YEARS -150 YEARS
PFQ054,questionnaire,Need special equipment to walk,"Because of a health problem, {do you/does SP} have difficulty walking without using any special equipment?",Both males and females 20 YEARS -150 YEARS
PFQ057,questionnaire,Experience confusion/memory problems,{Are you/Is SP} limited in any way because of difficulty remembering or because {you/s/he} experience{s} periods of confusion?,Both males and females 20 YEARS -150 YEARS
PFQ058,questionnaire,,"BOX 1D.   CHECK ITEM PFQ.058:  IF 'YES' (CODE 1) IN PFQ.049, PFQ.051, PFQ.054, OR PFQ.057, GO TO PFQ.061. OTHERWISE, CONTINUE.",Both males and females 20 YEARS -150 YEARS
PFQ059,questionnaire,"Physical, mental, emotional limitations","{Are you/Is SP} limited in any way in any activity because of a physical, mental or emotional problem?",Both males and females 20 YEARS -150 YEARS
PFQ059A,questionnaire,,"BOX 1E  CHECK ITEM PFQ.059A:  IF SP AGE IS <=59 AND 'NO' (CODE 2) ENTERED IN PFQ.049, PFQ.057 AND PFQ.059, GO TO PFQ.090.  OTHERWISE, CONTINUE.",Both males and females 20 YEARS -150 YEARS
PFQ061A,questionnaire,Difficulty managing money,"The next questions ask about difficulties {you/SP} may have doing certain activities because of a health problem.  By ""health problem"" we mean any long-term physical, mental or emotional problem or illness {not including pregnancy}.   By {yourself/himself /herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .managing {your/his/her} money [such as keeping track of {your/his/her} expenses or paying bills]?",Both males and females 20 YEARS -150 YEARS
PFQ061B,questionnaire,Difficulty walking for a quarter mile,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking for a quarter of a mile [that is about 2 or 3 blocks]?",Both males and females 20 YEARS -150 YEARS
PFQ061C,questionnaire,Difficulty walking up ten stairs,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking up 10 steps without resting?",Both males and females 20 YEARS -150 YEARS
PFQ061D,questionnaire,"Difficulty stooping, crouching, kneeling","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .stooping, crouching, or kneeling?",Both males and females 20 YEARS -150 YEARS
PFQ061E,questionnaire,Difficulty lifting or carrying,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .lifting or carrying something as heavy as 10 pounds [like a sack of potatoes or rice]?",Both males and females 20 YEARS -150 YEARS
PFQ061F,questionnaire,Difficulty doing house chores,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .doing chores around the house [like vacuuming, sweeping, dusting, or straightening up]?",Both males and females 20 YEARS -150 YEARS
PFQ061G,questionnaire,Difficulty preparing meals,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .preparing {your/his/her} own meals?",Both males and females 20 YEARS -150 YEARS
PFQ061H,questionnaire,Difficulty walking between rooms,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .walking from one room to another on the same level?",Both males and females 20 YEARS -150 YEARS
PFQ061I,questionnaire,Difficulty standingup from armless chair,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .standing up from an armless straight chair?",Both males and females 20 YEARS -150 YEARS
PFQ061J,questionnaire,Difficulty getting in and out of bed,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .getting in or out of bed?",Both males and females 20 YEARS -150 YEARS
PFQ061K,questionnaire,"Difficulty using fork, knife, cup","By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .eating, like holding a fork, cutting food or drinking from a glass?",Both males and females 20 YEARS -150 YEARS
PFQ061L,questionnaire,Difficulty dressing yourself,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .dressing {yourself/himself/herself}, including tying shoes, working zippers, and doing buttons?",Both males and females 20 YEARS -150 YEARS
PFQ061M,questionnaire,Difficulty standing for long periods,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .standing or being on {your/his/her} feet for about 2 hours?",Both males and females 20 YEARS -150 YEARS
PFQ061N,questionnaire,Difficulty sitting for long periods,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .sitting for about 2 hours?",Both males and females 20 YEARS -150 YEARS
PFQ061O,questionnaire,Difficulty reaching up,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .reaching up over {your/his/her} head?",Both males and females 20 YEARS -150 YEARS
PFQ061P,questionnaire,Difficulty grasp/holding small objects,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .using {your/his/her} fingers to grasp or handle small objects?",Both males and females 20 YEARS -150 YEARS
PFQ061Q,questionnaire,Difficulty going out to movies/events,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .going out to things like shopping, movies, or sporting events?",Both males and females 20 YEARS -150 YEARS
PFQ061R,questionnaire,Difficulty attending social event,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .participating in social activities [visiting friends, attending clubs or meetings or going to parties]?",Both males and females 20 YEARS -150 YEARS
PFQ061S,questionnaire,Difficulty with home leisure activities,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .doing things to relax at home or for leisure [reading, watching TV, sewing, listening to music]?",Both males and females 20 YEARS -150 YEARS
PFQ061T,questionnaire,Difficulty moving large objects,"By {yourself/himself/herself} and without using any special equipment, how much difficulty {do you/does SP} have . . .pushing or pulling large objects like a living room chair?",Both males and females 20 YEARS -150 YEARS
PFQ066A,questionnaire,,"BOX 1F.  CHECK ITEM PFQ.066A:  IF 'SOME DIFFICULTY' (CODE 2), 'MUCH DIFFICULTY' (CODE 3), OR 'UNABLE TO DO' (CODE 4) IN PFQ.061 A THROUGH T, CONTINUE.  OTHERWISE, GO TO PFQ.090.",Both males and females 20 YEARS -150 YEARS
PFQ063A,questionnaire,Health problem causing difficulty,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,Both males and females 20 YEARS -150 YEARS
PFQ063B,questionnaire,Health problem causing difficulty,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,Both males and females 20 YEARS -150 YEARS
PFQ063C,questionnaire,Health problem causing difficulty,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,Both males and females 20 YEARS -150 YEARS
PFQ063D,questionnaire,Health problem causing difficulty,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,Both males and females 20 YEARS -150 YEARS
PFQ063E,questionnaire,Health problem causing difficulty,What condition or health problem causes {you/SP} to have difficulty with or need help with {NAME OF UP TO 3 ACTIVITIES/these activities}?,Both males and females 20 YEARS -150 YEARS
PFQ090,questionnaire,Require special healthcare equipment,"{Do you/Does SP} now have any health problem that requires {you/him/her} to use special equipment, such as a cane, a wheelchair, a special bed, or a special telephone?",Both males and females 20 YEARS -150 YEARS
RXQ510,questionnaire,Dr told to take daily low-dose aspirin?,"Doctors and other health care providers sometimes recommend that {you take/SP takes) a low-dose aspirin each day to prevent heart attacks, strokes, or cancer. {Have you/Has SP} ever been told to do this?",Both males and females 40 YEARS -150 YEARS
RXQ515,questionnaire,"Followed advice, took low-dose aspirin?",{Are you/Is SP} now following this advice?,Both males and females 40 YEARS -150 YEARS
RXQ520,questionnaire,Taking low-dose aspirin on your own?,"On {your/SP's} own, {are you/is SP} now taking a low-dose aspirin each day to prevent heart attacks, strokes, or cancer?",Both males and females 40 YEARS -150 YEARS
RXQ525G,questionnaire,Schedule/frequency of aspirin use,"How often {do you/does SP} take an aspirin? (ASA taken daily, on alternate days, or another schedule?)",Both males and females 40 YEARS -150 YEARS
RXQ525Q,questionnaire,Another ASA schedule: number of doses,How often {do you/does SP} take an aspirin? (Number of ASA doses taken per day or per week).,Both males and females 40 YEARS -150 YEARS
RXQ525U,questionnaire,Another ASA schedule: frequency of doses,How often {do you/does SP} take an aspirin? (ASA doses taken on daily or weekly basis?),Both males and females 40 YEARS -150 YEARS
RXD530,questionnaire,Aspirin dose in milligrams (mg),What is the size or dose that {you take/SP takes}?,Both males and females 40 YEARS -150 YEARS
RHQ010,questionnaire,Age when first menstrual period occurred,The next series of questions are about {your/SP's} reproductive history.  I will begin by asking about {your/SP's} periods or menstrual cycles.  How old {were you/was SP} when {you/SP} had {your/her} first menstrual period?,Females only 12 YEARS -150 YEARS
RHQ020,questionnaire,Age range at first menstrual period,{Were you/Was SP}...,Females only 12 YEARS -150 YEARS
RHQ031,questionnaire,Had regular periods in past 12 months,"{Have you/Has SP} had at least one menstrual period in the past 12 months? (Please do not include bleedings caused by medical conditions, hormone therapy, or surgeries.)",Females only 12 YEARS -150 YEARS
RHD043,questionnaire,Reason not having regular periods,What is the reason that {you have/SP has} not had a period in the past 12 months?,Females only 20 YEARS -150 YEARS
RHQ060,questionnaire,Age at last menstrual period,About how old {were you/was SP} when {you/SP} had {your/her} last menstrual period?,8 to 120
RHQ070,questionnaire,Age range at last menstrual period,{Were you/Was SP}...,Females only 12 YEARS -150 YEARS
RHQ074,questionnaire,Tried for a year to become pregnant?,The next questions are about {your/SP's} pregnancy history. {Have you/Has SP} ever attempted to become pregnant over a period of at least a year without becoming pregnant?,Females only 18 YEARS -150 YEARS
RHQ076,questionnaire,Seen a DR b/c unable to become pregnant?,{Have you/Has SP} ever been to a doctor or other medical provider because {you have/she has} been unable to become pregnant?,Females only 18 YEARS -150 YEARS
RHQ078,questionnaire,Ever treated for a pelvic infection/PID?,"{Have you/Has SP} ever been treated for an infection in {your/her} fallopian tubes, uterus or ovaries, also called a pelvic infection, pelvic inflammatory disease, or PID?",Females only 18 YEARS -150 YEARS
RHQ131,questionnaire,Ever been pregnant?,"The next questions are about {your/SP's} pregnancy history. {Have you/Has SP ever been pregnant? Please include (current pregnancy,) live births, miscarriages, stillbirths, tubal pregnancies and abortions.",Females only 20 YEARS -150 YEARS
RHD143,questionnaire,Are you pregnant now?,{Are you/Is SP} pregnant now?,Females only 20 YEARS -44 YEARS
RHQ160,questionnaire,How many times have been pregnant?,"How many times {have you/has SP} been pregnant?  ({Again, be/Be} sure to count all {your/her} pregnancies including (current pregnancy,) live births, miscarriages, stillbirths, tubal pregnancies or abortions.)",Females only 20 YEARS -150 YEARS
RHQ162,questionnaire,"During pregnancy, told you have diabetes","During {any/your/SP's} pregnancy, {were you/was SP} ever told by a doctor or other health professional that {you/she} had diabetes, sugar diabetes or gestational diabetes?  Please do not include diabetes that {you/SP} may have known about before the pregnancy.",Females only 20 YEARS -150 YEARS
RHQ163,questionnaire,Age told you had diabetes while pregnant,How old {were you/was SP} when {you were/she was} first told {you/she} had diabetes during a pregnancy?,Females only 20 YEARS -150 YEARS
RHQ166,questionnaire,How many vaginal deliveries?,How many vaginal deliveries {have you/has SP} had?  {Please count stillbirths as well as live births},Females only 20 YEARS -150 YEARS
RHQ169,questionnaire,How many cesarean deliveries?,How many cesarean deliveries {have you/has SP} had?  (Cesarean deliveries are also known as C-sections.)  (Please count stillbirths as well as live births.),Females only 20 YEARS -150 YEARS
RHQ172,questionnaire,Any babies weigh 9 lbs or more?,{Did {your/SP's} delivery/Did any of {your/SP's} deliveries} result in a baby that weighed 9 pounds (4082 g) or more at birth?  (Please count stillbirths as well as live births.),Females only 20 YEARS -150 YEARS
RHD173,questionnaire,Age when delivered baby 9 lbs or more?,How old {were you/was SP} when {you/she} delivered a baby that weighed 9 pounds or more?  (Please count stillbirths as well as live births.),Females only 20 YEARS -150 YEARS
RHQ171,questionnaire,How many deliveries live birth result?,How many of {your/her} deliveries resulted {Did {your/her} delivery result} in a live birth?,Females only 20 YEARS -150 YEARS
RHD180,questionnaire,Age at first live birth,How old {were you/was SP} at the time of {your/her} first live birth?,Females only 20 YEARS -150 YEARS
RHD190,questionnaire,Age at last live birth,How old {were you/was SP} at the time of {your/her} last live birth?,Females only 20 YEARS -150 YEARS
RHQ197,questionnaire,How many months ago have baby?,How many months ago did {you/SP} have {your/her} baby?,Females only 20 YEARS -150 YEARS
RHQ200,questionnaire,Now breastfeeding a child?,{Are you/Is SP} now breast feeding a child?,Females only 20 YEARS -44 YEARS
RHD280,questionnaire,Had a hysterectomy?,"{Have you/Has SP} had a hysterectomy that is, surgery to remove {your/her} uterus or womb?",Females only 20 YEARS -150 YEARS
RHQ291,questionnaire,Age when had hysterectomy,How old {were you/was SP} when {you/she} had {your/her} (hysterectomy/uterus removed/womb removed)?,Females only 20 YEARS -150 YEARS
RHQ305,questionnaire,Had both ovaries removed?,{Have you/Has SP} had both of {your/her} ovaries removed (either when {you/she} had {your/her} uterus removed or at another time)?,Females only 20 YEARS -150 YEARS
RHQ332,questionnaire,Age when both ovaries removed,How old {were you/was SP} when {you/she} had {your/her} ovaries removed or last ovary removed if removed at different times?,Females only 20 YEARS -150 YEARS
RHQ420,questionnaire,Ever taken birth control pills?,Now I am going to ask you about {your/SP's} birth control history.  {Have you/Has SP} ever taken birth control pills for any reason?,Females only 12 YEARS -150 YEARS
RHQ540,questionnaire,Ever use female hormones?,"{Have you/Has SP} ever used female hormones such as estrogen and progesterone?  Please include any forms of female hormones, such as pills, cream, patch, and injectables, but do not include birth control methods or use for infertility.",Females only 20 YEARS -150 YEARS
RHQ542A,questionnaire,Hormone pills used,Which forms of female hormones {have you/has SP} used.,Females only 20 YEARS -150 YEARS
RHQ542B,questionnaire,Hormone patches used,Which forms of female hormones {have you/has SP} used.,Females only 20 YEARS -150 YEARS
RHQ542C,questionnaire,Hormone cream/suppository/injection used,Which forms of female hormones {have you/has SP} used.,Females only 20 YEARS -150 YEARS
RHQ542D,questionnaire,Other form of female hormone used,Which forms of female hormones {have you/has SP} used.,Females only 20 YEARS -150 YEARS
RHQ554,questionnaire,Use hormone pills w/estrogen only,{Have you/Has SP} ever taken female hormone pills containing estrogen only (like Premarin)? (Do not include birth control pills.),Females only 20 YEARS -150 YEARS
RHQ560Q,questionnaire,How long taking estrogen-only pills?,"Not counting any time when {you/SP} stopped taking them, for how long altogether {have you taken/did you take/has she taken/did she take} pills containing estrogen only?",1 to 59
RHQ560U,questionnaire,"Unit of measure: months, years",UNIT OF MEASURE.,Females only 20 YEARS -150 YEARS
RHQ570,questionnaire,Used estrogen/progestin combo pills,"{Have you/Has SP} taken female hormone pills containing both estrogen and progestin (like Prempro, Premphase)? (Do not include birth control pills.)",Females only 20 YEARS -150 YEARS
RHQ576Q,questionnaire,How long taking estrogen/progestin?,"Not counting any time when {you/SP} stopped taking them, for how long altogether {{have you/has SP} taken/did {you/SP} take} pills containing both estrogen and progestin?",1 to 59
RHQ576U,questionnaire,"Unit of measure: months, years",UNIT OF MEASURE.,Females only 20 YEARS -150 YEARS
RHQ580,questionnaire,Used estrogen-only patches?,{Have you/Has SP} ever used female hormone patches containing estrogen only?,Females only 20 YEARS -150 YEARS
RHQ586Q,questionnaire,How long using estrogen only patches?,"Not counting any time when {you/SP} stopped taking them, for how long altogether {have you used/did you use/has she used/did she use} patches containing estrogen only?",1 to 59
RHQ586U,questionnaire,"Unit of measure: months, years",UNIT OF MEASURE.,Females only 20 YEARS -150 YEARS
RHQ596,questionnaire,Used estrogen/progestin combo patches?,{Have you/Has SP} used female hormone patches containing both estrogen and progestin?,Females only 20 YEARS -150 YEARS
RHQ602Q,questionnaire,How long use estrogen/progestin patch,"Not counting any time when {you/SP} stopped taking them, for how long altogether {have you used/did you use/has she used/did she use} patches containing both estrogen and progestin?",Females only 20 YEARS -150 YEARS
RHQ602U,questionnaire,"Unit of measure: months, years",UNIT OF MEASURE.,Females only 20 YEARS -150 YEARS
SLQ300,questionnaire,Usual sleep time on weekdays or workdays,What time {do you/does SP} usually fall asleep on weekdays or   workdays?,Both males and females 16 YEARS -150 YEARS
SLQ310,questionnaire,Usual wake time on weekdays or workdays,What time {do you/does SP} usually wake up on weekdays or   workdays?,Both males and females 16 YEARS -150 YEARS
SLD012,questionnaire,Sleep hours - weekdays or workdays,Number of hours usually sleep on weekdays or workdays.,Both males and females 16 YEARS -150 YEARS
SLQ320,questionnaire,Usual sleep time on weekends,What time {do you/does SP} usually fall asleep on weekends or   non-workdays?,Both males and females 16 YEARS -150 YEARS
SLQ330,questionnaire,Usual wake time on weekends,What time {do you/does SP} usually wake up on weekends or   non-workdays?,Both males and females 16 YEARS -150 YEARS
SLD013,questionnaire,Sleep hours - weekends,Number of hours usually sleep on weekends or   non-workdays.,Both males and females 16 YEARS -150 YEARS
SLQ030,questionnaire,How often do you snore?,"In the past 12 months, how often did {you/SP} snore while   {you were/s/he was} sleeping?",Both males and females 16 YEARS -150 YEARS
SLQ040,questionnaire,How often do you snort or stop breathing,"In the past 12 months, how often did {you/SP} snort, gasp, or   stop breathing while {you were/s/he was} asleep?",Both males and females 16 YEARS -150 YEARS
SLQ050,questionnaire,Ever told doctor had trouble sleeping?,{Have you/Has SP} ever told a doctor or other health   professional that {you have/s/he has} trouble sleeping?,Both males and females 16 YEARS -150 YEARS
SLQ120,questionnaire,How often feel overly sleepy during day?,"In the past month, how often did {you/SP} feel excessively or   overly sleepy during the day?",Both males and females 16 YEARS -150 YEARS
SMQ020,questionnaire,Smoked at least 100 cigarettes in life,These next questions are about cigarette smoking and other tobacco use. {Have you/Has SP} smoked at least 100 cigarettes in {your/his/her} entire life?,Both males and females 18 YEARS -150 YEARS
SMD030,questionnaire,Age started smoking cigarettes regularly,How old {were you/was SP} when {you/s/he} first started to smoke cigarettes fairly regularly?,Both males and females 18 YEARS -150 YEARS
SMQ040,questionnaire,Do you now smoke cigarettes?,{Do you/Does SP} now smoke cigarettes?,Both males and females 18 YEARS -150 YEARS
SMQ050Q,questionnaire,How long since quit smoking cigarettes,How long has it been since {you/SP} quit smoking cigarettes?,Both males and females 18 YEARS -150 YEARS
SMQ050U,questionnaire,Unit of measure (day/week/month/year),UNIT OF MEASURE,Both males and females 18 YEARS -150 YEARS
SMD057,questionnaire,# cigarettes smoked per day when quit,"At that time, about how many cigarettes did {you/SP} usually smoke per day?",1 to 95
SMQ078,questionnaire,How soon after waking do you smoke,How soon after you wake up do you smoke?  Would you say . . .,Both males and females 12 YEARS -150 YEARS
